"Live births by area, city/district councils (Maori and total population) (Annual-Dec)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Far North District,Whangarei District,Kaipara District,Rodney District (to 2010),North Shore City (to 2010),Waitakere City (to 2010),Auckland City (to 2010),Manukau City (to 2010),Papakura District (to 2010),Franklin District (to 2010),Thames-Coromandel District,Hauraki District,Waikato District,Matamata-Piako District,Hamilton City,Waipa District,Otorohanga District,South Waikato District,Waitomo District,Taupo District,Western Bay of Plenty District,Tauranga City,Rotorua District,Whakatane District,Kawerau District,Opotiki District,Gisborne District,Wairoa District,Hastings District,Napier City,Central Hawke's Bay District,New Plymouth District,Stratford District,South Taranaki District,Ruapehu District,Wanganui District,Rangitikei District,Manawatu District,Palmerston North City,Tararua District,Horowhenua District,Kapiti Coast District,Porirua City,Upper Hutt City,Lower Hutt City,Wellington City,Masterton District,Carterton District,South Wairarapa District,Tasman District,Nelson City,Marlborough District,Kaikoura District,Buller District,Grey District,Westland District,Hurunui District,Waimakariri District,Christchurch City,Selwyn District,Ashburton District,Timaru District,Mackenzie District,Waimate District,Chatham Islands Territory,Waitaki District,Central Otago District,Queenstown-Lakes District,Dunedin City,Clutha District,Southland District,Gore District,Invercargill City,Auckland (from 2011),Not stated,Area outside Territorial Authority,Total New Zealand
 ,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
2004,780,1050,240,1122,2712,3267,6270,6201,798,849,279,189,642,438,1947,618,129,402,147,483,558,1413,1155,507,111,144,750,129,1095,765,171,813,120,393,216,537,195,327,1023,267,348,504,819,504,1527,2454,315,87,117,558,579,477,36,111,192,96,141,555,4629,390,303,456,33,75,9,207,183,252,1269,273,399,168,690,..,69,0,58074
2005,795,1038,234,1110,2643,3135,6198,6180,837,912,267,198,699,447,2055,591,123,375,132,450,501,1443,1080,552,123,135,780,132,1044,750,186,888,135,390,216,561,174,390,1113,267,366,486,852,507,1476,2436,276,81,108,513,519,474,36,99,129,108,138,495,4521,462,348,477,36,72,9,198,168,318,1287,201,396,153,663,..,51,0,57744
2006,867,1119,258,1119,2724,3393,6228,6363,840,897,270,204,723,390,2076,606,108,321,138,441,510,1485,1146,534,114,135,720,135,1110,744,174,948,126,387,243,594,183,396,1080,282,381,489,894,492,1482,2565,318,87,114,549,522,486,45,111,189,90,132,552,4638,444,342,471,48,81,6,201,210,327,1221,210,387,156,690,..,129,0,59193
2007,909,1176,240,1221,2886,3639,6687,6954,924,960,282,231,795,444,2286,636,153,363,171,531,546,1635,1128,549,123,153,801,150,1161,789,213,1029,123,459,261,588,216,393,1149,270,417,540,948,567,1662,2619,297,102,138,552,639,513,48,129,168,108,123,594,5139,546,399,540,48,84,15,219,225,390,1311,228,423,153,771,..,156,0,64044
2008,861,1191,252,1209,2964,3720,6561,6999,990,921,285,258,765,471,2469,657,132,414,162,489,567,1635,1206,510,135,141,828,177,1140,858,186,996,141,462,231,603,219,411,1185,282,438,558,1017,576,1653,2643,300,87,138,558,627,570,33,126,213,114,132,576,4986,516,384,498,54,93,6,237,225,390,1305,225,423,171,741,..,57,3,64344
2009,858,1092,246,1098,2940,3603,6702,6678,927,894,270,204,771,462,2346,594,126,375,171,513,543,1593,1143,474,135,123,726,147,1119,864,222,1011,126,450,225,633,207,369,1092,252,378,564,954,537,1647,2541,330,105,114,495,603,549,45,126,198,108,138,528,4884,507,402,522,48,81,3,210,204,444,1269,234,456,162,741,..,84,0,62544
2010,936,1191,270,1230,3117,3699,6678,6855,948,930,276,243,723,468,2472,615,147,399,144,522,528,1635,1080,549,123,114,783,135,1158,801,186,1029,132,441,231,606,204,405,1167,273,411,570,921,552,1587,2598,315,99,129,543,603,573,51,117,204,108,123,546,4980,495,453,498,48,81,9,240,201,417,1287,210,456,183,768,..,72,0,63897
2011,774,1173,255,..,..,..,..,..,..,..,252,231,864,453,2355,603,138,384,141,444,501,1656,1077,522,105,141,735,144,1122,783,174,1005,120,429,189,546,189,420,1191,261,366,522,951,513,1518,2493,306,99,123,504,600,540,45,126,183,123,129,501,4446,519,447,471,48,63,6,237,204,381,1326,210,426,147,759,22659,18,0,61404
2012,864,1191,258,..,..,..,..,..,..,..,261,198,909,498,2391,585,153,387,132,480,516,1662,1008,492,123,141,708,111,1122,822,180,990,120,423,186,567,198,339,1143,243,342,522,945,504,1521,2433,291,105,111,477,546,507,30,135,195,84,144,471,4407,507,432,498,51,75,9,228,189,402,1308,222,405,171,669,22839,6,0,61176
2013,813,1086,228,..,..,..,..,..,..,..,243,216,855,429,2334,588,141,327,126,435,516,1569,996,438,99,138,699,144,1047,777,189,1026,108,375,186,564,204,339,1110,240,345,489,864,525,1347,2343,276,102,108,486,552,504,45,111,189,84,135,525,4284,480,435,480,45,96,6,261,198,375,1221,192,423,135,642,21828,9,0,58716
2014,768,1056,225,..,..,..,..,..,..,..,222,210,885,414,2307,573,135,366,120,417,459,1482,906,474,102,126,654,129,1062,684,159,990,132,384,186,501,204,357,1062,201,348,471,834,489,1299,2307,288,90,111,411,534,489,42,105,153,117,114,501,4245,588,444,498,57,66,6,216,159,369,1173,192,384,144,603,21429,12,0,57243
2015,807,1140,255,..,..,..,..,..,..,..,249,228,963,474,2484,627,159,360,135,489,525,1626,1047,513,87,144,720,123,1071,777,177,1053,138,417,204,558,216,393,1152,216,333,459,921,543,1530,2286,285,75,126,447,534,492,48,108,186,90,138,675,4392,645,477,531,54,90,6,264,189,444,1278,204,414,162,651,22434,6,0,61038
2016,780,1176,270,..,..,..,..,..,..,..,246,228,948,459,2343,639,153,375,141,471,558,1608,1035,459,117,150,741,126,1026,750,156,966,114,393,186,522,216,327,1074,234,369,486,792,540,1428,2301,279,102,84,456,540,534,33,99,141,84,147,582,4428,672,486,516,51,72,6,255,213,420,1152,186,384,147,630,21810,12,0,59430
2017,798,1182,267,..,..,..,..,..,..,..,243,219,1026,435,2433,639,147,384,129,486,561,1752,1059,516,120,141,705,132,1104,711,180,918,120,354,195,558,207,381,1143,237,321,501,876,534,1443,2187,321,93,105,459,507,498,33,99,162,105,168,642,4398,696,477,501,51,84,6,219,198,432,1203,210,429,129,657,21390,9,0,59610
2018,837,1092,255,..,..,..,..,..,..,..,261,213,1014,447,2379,627,135,348,126,456,552,1707,1017,492,102,153,714,120,1038,711,195,1017,135,396,201,558,207,366,1089,228,375,477,822,516,1377,1995,327,108,81,447,540,504,42,93,153,81,120,606,4374,744,432,474,51,78,6,228,222,423,1104,192,363,138,612,20712,12,0,58020
Table information:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number, Magnitude = Units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Births exclude late registrations under section 16 of the Births, Deaths, Marriages, and Relationships Registration Act 1995.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Births are based on births registered in New Zealand to mothers resident in New Zealand by date of registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boundaries: Data before 2006 is based on boundaries for the year of registration. Data for 2006-10 is on 2006 boundaries, 2011-12 on 2011 boundaries, 2013-17 on 2013 boundaries. From 2018, data is based on 2018 boundaries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figures for the Auckland Council for March, June, and September 2011 year are estimated using a combination of 2006 and 2011 boundaries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data has been randomly rounded to protect confidentiality. Individual figures may not add up to totals, and values for the same data may vary in different tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbols:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. figure not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C: Confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E: Early Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P: Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R: Revised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S: Suppressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status flags are not displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table reference: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSB013AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 February 2019 10:45am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Statistics New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: Information Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone: 0508 525 525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email:info@stats.govt.nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
